Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Citi,Yes,10001+,"Citigroup is a diversified financial services holding company that provides various financial products and services. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services. Citigroup Inc. was founded in 1812 and is based in New York, United States.","New York, New York, United States","Jun 16, 1812","Banking, Credit Cards, Financial Services,",Citigroup is a diversified financial services holding company that provides various financial products and services.,"May 8, 2018",Post-IPO Equity,"$1,200,000,000","Abu Dhabi Investment Authority,",$10B+,—,"Greater New York Area, East Coast,"
Bank of Aria,—,11-50,The Bank of Aria Corporation is an investment and asset management firm that offers a variety of financial services to clients worldwide. Radhesh Aria founded it in 2022 and it was previously known as Charlotte Heather Inc. Aria Atlantic International Holdings Corporation acquired the company in 2023 as part of a strategic move to strengthen its position as a player in the investment and asset management industry.,"Seattle, Washington, United States",2023,"Consulting, Finance, Financial Services",Bank of Aria is an investment and asset management firm that offers a variety of financial services.,"Mar 24, 2023",Debt Financing,"$12,974,930,903","Radhesh Aria, Aria Atlantic International Holdings Corporation",—,—,"Greater Seattle Area, West Coast,"
JP Morgan Chase,—,10001+,"JPMorgan Chase is a financial holding company, provides various financial services worldwide. The company's Investment Bank segment provides investment banking products and services, including advising on corporate strategy and structure, capital raising in equity and debt markets, risk management, market-making in cash securities and derivative instruments, and prime brokerage and research. It was founded in February 2000 and is based in New York, United States.","New York, New York, United States","Dec 1, 2000","Asset Management, Banking, Financial Services","JP Morgan Chase is a global financial services provider that offers investment banking, asset management, treasury, and other services.","Apr 18, 2019",Grant,"$3,000,000",—,$10B+,—,"Greater New York Area, East Coast,"
Shein,—,10001+,"Shein is an online marketplace that engages in women's apparel. Shein describes itself as an “international B2C fast fashion e-commerce platform” with businesses in more than 220 countries and regions around the world. It was founded in 2008 and headquartered in Jiangsu, China.","Nanjing, Jiangsu, China",2008,"E-Commerce, Fashion, Marketplace,","Shein is an online marketplace that offers apparel, beauty, accessories, and home goods.","Apr 4, 2022",Series F,"$1,500,000,000","General Atlantic, Tiger Global Management,,,",$1B to $10B,—,Asia-Pacific (APAC)
Orange DAO,—,11-50,"Orange DAO supports past, present, and aspiring Y Combinator founders who are building the future of the crypto ecosystem. The company believes that founders and builders are best suited to spark, advance, and distribute opportunities to anyone hungry for a fairer future. Orange fund is the venture partner of Orange DAO. Founded in 2021 and its headquarters is located in San Francisco, California.","San Francisco, California, United States",2021,"Cryptocurrency, Venture Capital",Orange DAO is community venture capital.,"Aug 23, 2022",Venture - Series Unknown,"$80,000,000","NEAR, Algorand Foundation",—,—,"San Francisco Bay Area, West Coast,"
Yuga Labs,—,101-250,"Yuga Labs is a blockchain technology company that develops NFTs and digital collectibles. It specializes in the fields of blockchain, cryptocurrency, and digital media. Yuga Labs was founded in 2021 by Wylie Aronow and Greg Solano and headquartered in Miami, Florida.","Miami, Florida, United States",2021,"Blockchain, Cryptocurrency, Digital Media,",Yuga Labs is a blockchain technology company that develops NFTs and digital collectibles.,"Mar 22, 2022",Venture - Series Unknown,"$450,000,000","Coinbase, Animoca Brands, AvoInvest,,",$100M to $500M,—,"Greater Miami Area, East Coast,"
Reliance Industries,—,10001+,"Reliance Industries is engaged in the exploration, development, and production of crude oil and natural gas in India and internationally. Reliance Industries is the second-largest publicly traded company in India by market capitalization and is the second-largest company in India by revenue after the state-run Indian Oil Corporation. Across all economic and social spheres, Reliance's product and service portfolio affects nearly all Indians on a daily basis.","Mumbai, Maharashtra, India",1966,"Chemical, Energy, Oil and Gas,,","Reliance Industries is a multi-industry company that engages in the energy, petrochemical, retail, and textile businesses.","Mar 13, 2023",Post-IPO Debt,"$3,000,000,000","State Bank of India, HSBC, Bank of America,,",$10B+,—,Asia-Pacific (APAC)
Alibaba Group,—,10001+,"Alibaba Group’s mission is to make it easy to do business anywhere. They enable businesses to transform the way they market, sell, operate and improve their efficiencies. They provide the technology infrastructure and marketing reach to help merchants, brands and other businesses to leverage the power of new technology to engage with their users and customers and operate in a more efficient way. Their businesses are comprised of core commerce, cloud computing, digital media and entertainment, and innovation initiatives. In addition, Ant Financial, a company in which they have agreed to acquire a 33% equity stake, provides payment and financial services to consumers and merchants on their platforms. An ecosystem has developed around their platforms and businesses that consists of consumers, merchants, brands, retailers, other businesses, third-party service providers and strategic alliance partners.","Hangzhou, Zhejiang, China","Apr 4, 1999","Association, B2B, Information Technology,","Alibaba Group enables businesses to transform the way they market, sell, operate, and improve their efficiencies.","Jun 2, 2016",Post-IPO Equity,"$1,000,000,000","Silver Lake, SoftBank, Goldman Sachs,,",$10B+,—,Asia-Pacific (APAC)
Consensus,—,101-250,"Consensus is a Software as a Service (SaaS) that automates custom product demos to accelerate sales. Their interactive demo platform personalizes videos and documents so each prospect automatically learns about the solution in the most relevant way. This cuts sales cycles and increases close rates. Their Demolytics™ dashboard helps users discover and engage the entire buying committee by gathering analytics and tracking who’s involved, what’s important to them, what they watched, and who they shared it with. This drives consensus and gets to a purchase decision much faster than traditional sales methods. Clients have cut their sales cycles by 68% and jumped close rates by 27%.","Lehi, Utah, United States","Mar 1, 2013","B2B, Marketing Automation, Productivity Tools,,",Consensus is an intelligent demo automation platform that automates custom product demos to accelerate sales.,"Mar 8, 2023",Private Equity,"$110,000,000","Sumeru Equity Partners, Service Provider Capital,,,",$10M to $50M,—,Western US
ByteDance,—,10001+,"ByteDance is a technology company that operates a variety of content platforms that inform, educate, entertain, and inspire people from all over the world. Its platforms aim to help users explore and discover the world's creativity, knowledge, and everyday moments that matter, while also empowering everyone to be a creator directly from their smartphones. It is dedicated to providing a safe, healthy, and positive online experience for all of its users.","Shanghai, Shanghai, China",Mar 2012,"Content, Data Mining, Internet,",ByteDance is an internet technology company that operates creative content platforms.,"Mar 15, 2023",Secondary Market,"$100,000,000","G42, Sequoia Capital, Goldman Sachs,,",$10B+,—,Asia-Pacific (APAC)
Future Planet Capital,—,11-50,"Future Planet Capital is the global impact-led venture capital firm built to back growth companies from the world's top universities and research ecosystems. The group manages $380m for institutional investors and has invested in over 300 companies, with 60 successful exits. It's portfolio is built around breakthrough technologies solving global challenges in Climate, Health, Education, Sustainable Growth and Climate Change.","London, England, United Kingdom",2016,"Impact Investing, Venture Capital",Future Planet is an impact-led venture capital firm that invests in technology and life science companies from leading research centres,"Nov 28, 2021",Series A,"£2,783,565",—,Less than $1M,—,—
G42,—,1001-5000,"G42 is a technology group that invents visionary artificial intelligence for a better everyday. Born in Abu Dhabi and operating across the world, G42 champions AI as a powerful force for good. Its people are constantly reimagining what technology can do, applying advanced thinking and innovation to accelerate progress and tackle society’s most pressing problems. G42’s platforms and industry solutions harness the latest scientific research and apply it in responsible ways. Best-in-class digital transformation and infrastructure expertise that bring the cutting-edge to every sector it serves, enabling true commercial impact. G42 is driving change in the region and beyond, joining forces with nations, corporations and individuals to create the infrastructure for tomorrow’s world – with technology that goes beyond to give its partners the edge. From molecular medicine to space travel and everything in between, G42 realizes exponential possibilities, today.","Abu Dhabi, Abu Dhabi, United Arab Emirates",2018,"Artificial Intelligence, Cloud Computing,,,",G42 is a United Arab Emirates artificial intelligence (AI) and cloud computing company,"Apr 14, 2021",Secondary Market,"$800,000,000","Silver Lake, Mubadala",$100M to $500M,—,Gulf Cooperation Council (GCC)
Riot Games,—,1001-5000,"Riot Games is a global company that develops online games. The company was founded by a couple of entrepreneurial gamers who believe player-focused game development can result in better quality games. In 2009, Riot Games released its debut title, League of Legends, a game played by over 67 million users every month. Riot Games was placed third on the Great Place to Work’s 2013 Best Medium Workplaces list and ranked fourth place in the ""25 Best Companies to Work for in Technology"" list, an accolade based on Glassdoor reviews of Riot by Rioters. Riot Games was founded by Marc Merrill and Brandon Beck in March 2007 and is headquartered in Culver City, California.","Los Angeles, California, United States",2006,"Computer, Developer Platform,,",Riot Games is a global company that develops online games.,"Dec 31, 2018",Venture - Series Unknown,"$6,000,000","Tencent, FirstMark, Benchmark,",$10B+,—,"Greater Los Angeles Area, West Coast,"
Sense,—,251-500,"Sense specializes in developing and distributing tracking devices and home automation solutions for its customers. Sense, its home monitoring system, is able to listen to the electronic signatures of electrical devices through its current sensors on the main breakers in electrical panels and records them. Followed by the recording process, it applies multi-domain device signature detection algorithms to distinguish one appliance from another to recognize each individual voice. Furthermore, the system transmits its data to its users through a specially designed mobile application. Sense was founded by Ryan Houlette, Christopher Micali, and Mike Phillips in 2013 and is based in Cambridge, Massachusetts.","Cambridge, Massachusetts, United States",2013,"Consumer Electronics, GreenTech,,,,,",Sense specializes in tracking devices and home automation solutions for its customers.,"Apr 27, 2022",Series C,"$127,600,000","Schneider Electric, Energy Impact Partners,,,",$1M to $10M,—,"Greater Boston Area, East Coast,"
Bumble,—,1001-5000,"Bumble is an app that brings dating, friend-finding, and career-building into a single social networking platform. The location-based social app facilitates communication between interested users. It enables people to connect and build equitable and healthy relationships. In heterosexual matches, only female users can make the first contact with matched male users, while in same-sex matches either person can send a message first. Users can sign up using their phone number or Facebook profile, and have options of searching for romantic matches or, in ""BFF mode"", friends. Bumble Bizz facilitates business communications. It was founded in 2014 by Whitney Wolfe Herd and is based in Austin, Texas.","Austin, Texas, United States",2014,"Dating, Internet, Mobile Apps,","Bumble is a social networking platform focused on making romance, friendship, and business connections.","Mar 3, 2023",Post-IPO Secondary,"$313,500,000","Accel, Headline, Greycroft, Able Partners,",$500M to $1B,"Women Founded, Women Led",Southern US
Gate.io,—,101-250,"Gate.io is a crypto exchange platform that provides trade, investment, and digital wallet services. It enables users to buy, sell, and trade over 1300 cryptocurrencies including Bitcoin, Ethereum, Litecoin, Dogecoin, etc.","George Town, Midland, Cayman Islands",2013,"Bitcoin, Cryptocurrency, Ethereum,,","Gate.io is a crypto exchange platform that provides trade, investment, and digital wallet services.","May 16, 2022",Series A,"$10,000,000","Gate Ventures, 5 BLOCKS CAPITAL",$1M to $10M,—,—
Juniper Square,—,251-500,"Unlock the potential of every investment partnership. Juniper Square empowers GPs and LPs to focus on building enduring relationships and exceptional investment opportunities. Our partnership enablement solutions empower investment partners to connect and communicate seamlessly across every interaction, freeing teams from the disjointed and siloed systems, operations, and processes holding organizations back from realizing their full potential today.","San Francisco, California, United States",2014,"Asset Management, Financial Services,,","Juniper Square operates an investment management platform for commercial real estate, private equity, and venture capital companies.","Feb 13, 2023",Venture - Series Unknown,"$133,000,000","Precursor Ventures, Fifth Wall,,,",—,Black / African American Founded,"San Francisco Bay Area, West Coast,"
NASA,—,10001+,"NASA's vision is to reach for new heights and reveal the unknown so that what we do and learn will benefit all humankind. President Dwight D. Eisenhower established the National Aeronautics and Space Administration in 1958, partially in response to the Soviet Union's launch of the first artificial satellite the previous year. NASA grew out of the National Advisory Committee on Aeronautics (NACA), which had been researching flight technology for more than 40 years. President John F. Kennedy focused NASA and the nation on sending astronauts to the moon by the end of the 1960s. Through the Mercury and Gemini projects, NASA developed the technology and skills it needed for the journey. On July 20, 1969, Neil Armstrong and Buzz Aldrin became the first of 12 men to walk on the moon, meeting Kennedy's challenge. Meanwhile, NASA was continuing the aeronautics research pioneered by NACA. It also conducted purely scientific research and worked on developing applications for space technology, combining both pursuits in developing the first weather and communications satellites. After Apollo, NASA focused on creating a reusable ship to provide regular access to space: the space shuttle. First launched in 1981, the space shuttle flew more than 130 successful flights before retiring in 2011. In 2000, the United States and Russia established permanent human presence in space aboard the International Space Station, a multinational project representing the work of 16 nations. NASA also has continued its scientific research. In 1997, Mars Pathfinder became the first in a fleet of spacecraft that will explore Mars in the next decade, as we try to determine if life ever existed there. The Terra and Aqua satellites are flagships of a different fleet, this one in Earth orbit, designed to help us understand how our home world is changing. NASA's aeronautics teams are focused on improved aircraft travel that is safer and cleaner. Throughout its history, NASA has conducted or funded research that has led to numerous improvements to life here on Earth.","Washington, District of Columbia,","Jul 29, 1958","Aerospace, National Security,,","NASA is responsible for the civilian space program, as well as aeronautics and aerospace research.",—,—,—,—,—,—,"Washington DC Metro Area, Southern US"
Virgin Orbit,—,501-1000,"Virgin Orbit focuses on providing launch services to small satellites. Virgin Orbit operates LauncherOne, a flexible launch service for commercial and government-built satellites. It focuses on dedicated launches of small satellites (smallsats). Founded in 2017, Virgin Orbit develops vehicles to fly private astronauts, research experiments, and satellites to space—democratizing access to space for the benefit of life on Earth. Virgin Orbit is based in Long Beach, California.","Long Beach, California, United States",Mar 2017,"Aerospace, Satellite Communication,",Virgin Orbit focuses on providing launch services to small satellites.,"Jun 29, 2022",Post-IPO Debt,"$50,000,000","Mubadala, Virgin Group, Yorkville Advisors,,",$10M to $50M,—,"Greater Los Angeles Area, West Coast,"
Carvana,—,10001+,"Founded in 2012 and based in Phoenix, Carvana’s mission is to change the way people buy cars. By removing the traditional dealership infrastructure and replacing it with technology and exceptional customer service, Carvana offers consumers an intuitive and convenient online car buying and financing platform. Carvana.com enables consumers to quickly and easily shop more than 15,000 vehicles, finance, trade in or sell their current vehicle to Carvana, sign contracts, and schedule as-soon-as-next-day delivery or pickup at one of Carvana’s patented, automated Car Vending Machines.","Tempe, Arizona, United States",2013,"Automotive, Autonomous Vehicles,",Carvana is an e-commerce platform for buying and selling used cars.,"Feb 24, 2022",Post-IPO Debt,"$3,275,000,000","Citi, Ally Financial, JPMorgan Chase & Co.",$1B to $10B,—,"Greater Phoenix Area, Western US"
WhatsApp,—,1001-5000,"WhatsApp Messenger is a cross-platform mobile messaging app which allows users to exchange messages without having to pay for SMS. WhatsApp Messenger is available for iPhone, Blackberry, Android, Windows Phone, Nokia, and Symbian platforms. Since WhatsApp Messenger uses the same internet data plan that subscribers use for email and web browsing, there is no cost to message and allows them to stay in touch with their friends. In addition to basic messaging WhatsApp users can create groups, send each other unlimited images, video, and audio media messages.","Santa Clara, California, United States",2009,"Android, Messaging, Mobile, Subscription Service","WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.","Jul 1, 2013",Series B,"$52,000,000",Sequoia Capital,$1B to $10B,—,"San Francisco Bay Area, Silicon Valley,"
Replit,Yes,101-250,"Repl.it is a browser-based integrated development environment (IDE) built for cross-platform collaborative coding. With assist for more than 50 programming languages, it can be utilized to construct apps and websites via a browser on any working system or system (together with cell), with the added skill to share initiatives and create communal workspaces, and grant entry to containers for executing code. The company was founded in 2016 and is headquartered in San Francisco, California.","San Francisco, California, United States",2016,"Cloud Computing, Developer Tools,,",Replit is a browser-based integrated development environment for cross-platform collaborative coding.,"Dec 9, 2021",Series B,"$80,000,000","Andreessen Horowitz, Y Combinator,,,",$1M to $10M,"Middle Eastern / North African Founded,,","San Francisco Bay Area, West Coast,"
LIQUiDITY Group,—,101-250,"LIQUiDITY is a fintech company that provides eligible late-stage tech companies around the world with unlimited unsecured, non-recourse, no-dilution growth capital. It is a pioneering technology firm that, by automating the entire debt lending cycle, has become the industry's fastest-growing lender to mid-market, late-stage companies. Because of its patented machine learning and decision science technology, it has been able to deploy more capital through more deals faster than any other firm in capital markets history.","New York, New York, United States",Jan 2018,"Credit, Finance, Financial Services,","Liquidity Group is a fintech firm that specializes in providing non-dilutive, and unsecured capital to SaaS-based companies.","Feb 20, 2023",Venture - Series Unknown,"$40,000,000","Apollo, Spark Capital, MUFG Bank,,",—,—,"Greater New York Area, East Coast,"
CrowdStrike,Yes,5001-10000,"CrowdStrike Holdings, Inc. (Nasdaq: CRWD), a global cybersecurity leader, has redefined modern security with one of the world’s most advanced cloud-native platforms for protecting critical areas of enterprise risk – endpoints and cloud workloads, identity, and data. Powered by the CrowdStrike Security Cloud and world-class AI, the CrowdStrike Falcon® platform leverages real-time indicators of attack, threat intelligence, evolving adversary tradecraft, and enriched telemetry from across the enterprise to deliver hyper-accurate detections, automated protection and remediation, elite threat hunting, and prioritized observability of vulnerabilities. Purpose-built in the cloud with a single lightweight-agent architecture, the Falcon platform delivers rapid and scalable deployment, superior protection and performance, reduced complexity and immediate time-to-value.","Sunnyvale, California, United States",2011,"Artificial Intelligence, Cloud Data Services,,,","CrowdStrike is a cybersecurity technology firm pioneering cloud delivered protection across endpoints, cloud workloads, identity and data.","Dec 1, 2022",Post-IPO Equity,"$4,600,000","Warburg Pincus, Accel, General Atlantic,,",$1B to $10B,—,"San Francisco Bay Area, Silicon Valley,"
Zume,—,101-250,Zume is actively reducing the world’s plastic waste with economically viable substitutes for plastic packaging.,"Camarillo, California, United States",Jun 2015,"Consumer, Food and Beverage,,",Zume is a manufacturing technology company focused on food packaging with economically viable substitutes for plastic packaging.,"Oct 24, 2019",Venture - Series Unknown,—,"FJ Labs, SignalFire, Fabrice Grinda,,",$1M to $10M,"Black / African American Founded,","Greater Los Angeles Area, West Coast,"
Uber,—,10001+,"Uber develops, markets, and operates a ridesharing mobile application that allows consumers to submit a trip request that is routed to crowd-sourced partner drivers. Its smartphone application connects drivers with people who need a ride. Its application enables users to arrange and schedule transportation and/or logistics services with third-party providers. They take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world. It also provides Windows Phone App, iPhone App, Blackberry App, and Android App. Uber serves customers in North, Central, and South Americas as well as Europe, the Middle East, Africa, and the Asia Pacific Garrett Camp, Oscar Salazar, and Travis Kalanick founded UberCab in March 2009 that became Uber Technologies in October 2010, with its headquarters in San Francisco in California and an engineering center in Bengaluru in India as well as a regional office in Singapore.","San Francisco, California, United States",Mar 2009,"Logistics, Mobile Apps, Public Transportation,,","Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.","Sep 14, 2020",Post-IPO Debt,"$500,000,000","Techstars, Tencent, Citi, Uber,",$10B+,—,"San Francisco Bay Area, West Coast,"
Clara,—,251-500,"Clara is the leading spend management platform for companies in Latin America. Our end-to-end solution includes our locally-issued corporate cards, Bill Pay, financing solutions, and our highly-rated software platform used by thousands of the most successful companies across the region. We're backed by top global and regional investors such as Coatue, DST Global, General Catalyst, monashees, Kaszek, Canary, A*, BoxGroup, SV Angel, GFC, Picus Capital, Avid Ventures, ICONIQ Growth, Goldman Sachs, and prominent angel investors. We’re creating the future of how company finances are run and helping our customers be more successful. We aspire to empower companies to operate with agility and financial clarity, ultimately increasing the economic competitiveness of Latin America.","São Paulo, Sao Paulo, Brazil",2020,"Credit Cards, Enterprise Software,,,,","Clara is the leading B2B LatAm business credit card, payment solution, and expense tracking platform.","Mar 12, 2023",Debt Financing,"$90,000,000","Accial Capital, General Catalyst,,,",—,—,Latin America
Forethought,—,101-250,"Launched in 2018, Forethought is a generative AI for customer service automation to maximize efficiency and productivity. Forethought’s products enable seamless customer experiences by infusing generative AI, powered by Large Language Models (LLMs), at each stage of the customer support journey: resolving common cases instantly, predicting and prioritizing cases, and assisting agents with relevant knowledge—all from one platform.","San Francisco, California, United States",Sep 2017,"Artificial Intelligence, Customer Service,,,",Forethought is a generative AI platform for customer support automation.,"Dec 15, 2021",Series C,"$65,000,000","8VC, Village Global, Collaborative Fund,,",$1M to $10M,"Black / African American Founded,","San Francisco Bay Area, West Coast,"
SOCi,—,501-1000,"SOCI serves as a marketing platform for multi-location brands. They empower businesses like Ace Hardware, Sport Clips, and Anytime Fitness to scale marketing efforts across all digital channels in a way that's brand-directed, locally perfected, and data-connected. As one central place to scale marketing, SOCi makes the impossible possible by enabling top brands and their locations to strengthen and scale their digital presence across limitless local search and social pages while protecting their reputation.","San Diego, California, United States",2012,"Advertising, Food and Beverage,,,,,",SOCi is a marketing platform for multi-location brands.,"Mar 7, 2023",Venture - Series Unknown,"$120,000,000","Stanford University, JMI Equity,,,",—,—,"Greater San Diego Area, West Coast,"
Applied Intuition,—,251-500,"Applied Intuition provides software infrastructure to safely develop, test, and deploy autonomous vehicles at scale. Applied’s suite of products, focused on simulation and analytics, delivers sophisticated infrastructure built for scale. Industry leading companies of all sizes use Applied to comprehensively test and rapidly accelerate their autonomous vehicle development. Headquartered in Silicon Valley with offices in LA, Detroit, Munich, Stockholm, Seoul, and Tokyo, Applied is composed of software and automotive experts from the top companies in their respective fields (such as Google, Amazon, Apple, Waymo, Tesla, Delphi, GM, and Bosch).","Mountain View, California, United States",2017,"Autonomous Vehicles, Enterprise Software,,","Applied Intuition provides software infrastructure to safely develop, test, and deploy autonomous vehicles at scale.","Nov 11, 2021",Series D,"$175,000,000","Andreessen Horowitz, General Catalyst,,,",—,—,"San Francisco Bay Area, Silicon Valley,"
